TasksV2 CORE=0
Copter::avoidance_adsb_update    MIN=  69 MAX= 314 AVG= 133 OVR= 70 SLP=  0, TOT= 0.1%
Copter::terrain_update           MIN=  35 MAX= 275 AVG=  71 OVR=  5 SLP=  0, TOT= 0.1%
AP_Winch::update                 MIN=   4 MAX= 126 AVG=  11 OVR=  2 SLP=  0, TOT= 0.1%
AP_Button::update                MIN=   3 MAX= 185 AVG=  10 OVR=  1 SLP=  0, TOT= 0.0%
AP_NMEA_Output::update           MIN=   3 MAX= 127 AVG=   6 OVR=  2 SLP=  0, TOT= 0.1%
Copter::update_dynamic_notch_at_ MIN=   1 MAX= 225 AVG=  10 OVR=999 SLP=  0, TOT= 0.3%
AP_VideoTX::update               MIN=   3 MAX=   9 AVG=   4 OVR=  0 SLP=  0, TOT= 0.0%
AP_Tramp::update                 MIN=   2 MAX= 122 AVG=   5 OVR=  5 SLP=  0, TOT= 0.0%
AP_Vehicle::send_watchdog_reset_ MIN=   6 MAX=   6 AVG=   6 OVR=  0 SLP=  0, TOT= 0.0%
AP_ESC_Telem::update             MIN=  47 MAX= 500 AVG= 230 OVR=805 SLP=  0, TOT= 3.3%
AP_Servo_Telem::update           MIN=   4 MAX= 124 AVG=  13 OVR=  7 SLP=  0, TOT= 0.1%
AP_Generator::update             MIN=   2 MAX= 120 AVG=   6 OVR=  2 SLP=  0, TOT= 0.0%
AP_RPM::update                   MIN=   4 MAX= 159 AVG=   8 OVR=  3 SLP=  0, TOT= 0.1%
AP_Vehicle::publish_osd_info     MIN=  19 MAX=  33 AVG=  24 OVR=  9 SLP=  0, TOT= 0.0%
AP_TemperatureSensor::update     MIN=   3 MAX=  26 AVG=   5 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::accel_cal_update     MIN=   8 MAX= 135 AVG=  15 OVR=  2 SLP=  0, TOT= 0.0%
AC_Fence::update                 MIN=   9 MAX=  47 AVG=  15 OVR=  0 SLP=  0, TOT= 0.0%
AP_AIS::update                   MIN=   1 MAX=   7 AVG=   2 OVR=  0 SLP=  0, TOT= 0.0%
AP_EFI::update                   MIN=   1 MAX= 106 AVG=   5 OVR=  0 SLP=  0, TOT= 0.0%
AP_Gripper::update               MIN=   2 MAX=   7 AVG=   3 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::one_Hz_update        MIN= 174 MAX= 362 AVG= 216 OVR=  9 SLP=  0, TOT= 0.0%
AP_Filters::update               MIN=   5 MAX=  19 AVG=  10 OVR=  0 SLP=  0, TOT= 0.0%
AP_Stats::update                 MIN=  14 MAX=  43 AVG=  26 OVR=  0 SLP=  0, TOT= 0.0%
AP_Vehicle::update_arming        MIN=1249 MAX=1571 AVG=1408 OVR=  9 SLP=  0, TOT= 0.2%
