hal_nordic	https://github.com/zephyrproject-rtos/hal_nordic	44fd3d44b15cb75f80a25b4679f91d2787e28664	modules/hal/nordic
hal_nuvoton	https://github.com/zephyrproject-rtos/hal_nuvoton	fe26f3a5b3b85fb6b61cc3f744f195e3ab391194	modules/hal/nuvoton
hal_nxp	https://github.com/zephyrproject-rtos/hal_nxp	b0d24fd6fd036f54a43721f4b0415df43317d7e0	modules/hal/nxp
hal_openisa	https://github.com/zephyrproject-rtos/hal_openisa	eabd530a64d71de91d907bad257cd61aacf607bc	modules/hal/openisa
hal_quicklogic	https://github.com/zephyrproject-rtos/hal_quicklogic	bad894440fe72c814864798c8e3a76d13edffb6c	modules/hal/quicklogic
hal_realtek	https://github.com/zephyrproject-rtos/hal_realtek	84a7fd556d95a411ee3cbf4ed29478eced58fb35	modules/hal/realtek
hal_renesas	https://github.com/zephyrproject-rtos/hal_renesas	06282060fa20cbd21d4ebbc7d46a1fc9533fd24e	modules/hal/renesas
hal_rpi_pico	https://github.com/zephyrproject-rtos/hal_rpi_pico	562b41e10a1d8b1a761b253b107c5c6a84cf4535	modules/hal/rpi_pico
hal_sifli	https://github.com/zephyrproject-rtos/hal_sifli	86fa0e9433fda1a760e0077c19b8407ecceea2f9	modules/hal/sifli
hal_silabs	https://github.com/zephyrproject-rtos/hal_silabs	f5201210afa1319ed8dd8dbe21682bcb63b25771	modules/hal/silabs
hal_st	https://github.com/zephyrproject-rtos/hal_st	7a792882847223c72944791e0c48eed6101e6569	modules/hal/st
hal_stm32	https://github.com/zephyrproject-rtos/hal_stm32	fe7d2e2bfb2b0234083e129509331ca9b536b681	modules/hal/stm32
hal_tdk	https://github.com/zephyrproject-rtos/hal_tdk	fa54cb65535b0ed69564423c9e0bf4e7ee47dcb1	modules/hal/tdk
hal_telink	https://github.com/zephyrproject-rtos/hal_telink	4226c7fc17d5a34e557d026d428fc766191a0800	modules/hal/telink
hal_ti	https://github.com/zephyrproject-rtos/hal_ti	afbcfffd393be03ca2c9b41f9ce8d94a4c2f2fbd	modules/hal/ti
hal_wch	https://github.com/zephyrproject-rtos/hal_wch	dd3855ea624b05de7e6e95584789615d2058a0f3	modules/hal/wch
hal_wurthelektronik	https://github.com/zephyrproject-rtos/hal_wurthelektronik	7c1297ea071d03289112eb24e789c89c7095c0a2	modules/hal/wurthelektronik
hal_xtensa	https://github.com/zephyrproject-rtos/hal_xtensa	0495a1afd300b644d3ec8dd2c3bd11007e69a892	modules/hal/xtensa
hostap	https://github.com/zephyrproject-rtos/hostap	aa993679725360c1e370c9695960c6730cb07e8b	modules/lib/hostap
liblc3	https://github.com/zephyrproject-rtos/liblc3	48bbd3eacd36e99a57317a0a4867002e0b09e183	modules/lib/liblc3
libmctp	https://github.com/zephyrproject-rtos/libmctp	b97860e78998551af99931ece149eeffc538bdb1	modules/lib/libmctp
libmetal	https://github.com/zephyrproject-rtos/libmetal	66e084293b2a7ced5a73fbd247deddba8915883a	modules/hal/libmetal
libsbc	https://github.com/zephyrproject-rtos/libsbc	8e1beda02acb8972e29e6edbb423f7cafe16e445	modules/lib/libsbc
littlefs	https://github.com/zephyrproject-rtos/littlefs	8f5ca347843363882619d8f96c00d8dbd88a8e79	modules/fs/littlefs
lora-basics-modem	https://github.com/zephyrproject-rtos/lora-basics-modem	a8ddc544043e72807cf7db532478e1dda734ae7c	modules/lib/lora-basics-modem
loramac-node	https://github.com/zephyrproject-rtos/loramac-node	fb00b383072518c918e2258b0916c996f2d4eebe	modules/lib/loramac-node
lvgl	https://github.com/zephyrproject-rtos/lvgl	85aa60d18b3d5e5588d7b247abf90198f07c8a63	modules/lib/gui/lvgl
mbedtls	https://github.com/zephyrproject-rtos/mbedtls	a3e190fe44c78d1ba67f55979e1257328cc7d0d8	modules/crypto/mbedtls
mbedtls-3.6	https://github.com/zephyrproject-rtos/mbedtls	a00e23de17b6b0a0de28e180cb186da6f0008836	modules/crypto/mbedtls-3.6
mcuboot	https://github.com/zephyrproject-rtos/mcuboot	ee39e2d694bd827ffd1bebbce2f571a9154e6ec2	bootloader/mcuboot
mipi-sys-t	https://github.com/zephyrproject-rtos/mipi-sys-t	5a9d6055b62edc54566d6d0034d9daec91749b98	modules/debug/mipi-sys-t
mldsa-native	https://github.com/zephyrproject-rtos/mldsa-native	3fc19982839305d305071f0de0c540bc9c9bea8a	modules/crypto/mldsa-native
nanopb	https://github.com/zephyrproject-rtos/nanopb	5499fd4c9a478f8139eeb07a82c3b4468d6067f7	modules/lib/nanopb
net-tools	https://github.com/zephyrproject-rtos/net-tools	64d7acc661ae2772282570f21beab85d02f2f35c	tools/net-tools
nrf_hw_models	https://github.com/zephyrproject-rtos/nrf_hw_models	158b9710d6e10c57b2c623f8f4178f0bbc85c23f	modules/bsim_hw_models/nrf_hw_models
nrf_wifi	https://github.com/zephyrproject-rtos/nrf_wifi	cebea8e27ceb91a7d4580d17db65f93669befe72	modules/lib/nrf_wifi
open-amp	https://github.com/zephyrproject-rtos/open-amp	5efe7974f9546582e99f5a842a816ea4b65f5227	modules/lib/open-amp
openthread	https://github.com/zephyrproject-rtos/openthread	e4d97681c53ec1cc34af1404ad2960adda4ba691	modules/lib/openthread
percepio	https://github.com/zephyrproject-rtos/percepio	f9159fe3c79578e8d90c8593e83f9862d9b8962c	modules/debug/percepio
picolibc	https://github.com/zephyrproject-rtos/picolibc	01254932e8e81085817ed61fd858648584ffe37c	modules/lib/picolibc
psa-arch-tests	https://github.com/zephyrproject-rtos/psa-arch-tests	6e8219237435112df33bbcf37b7f5657fcfb9cff	modules/tee/tf-m/psa-arch-tests
segger	https://github.com/zephyrproject-rtos/segger	50892fdbcf2f570e67baa72b8894a66b16946f72	modules/debug/segger
tf-m-tests	https://github.com/zephyrproject-rtos/tf-m-tests	cde5b6ed540d3ff5a09564fded6b39b0a70ad3bf	modules/tee/tf-m/tf-m-tests
tf-psa-crypto	https://github.com/zephyrproject-rtos/tf-psa-crypto	dc575a2ddcc8cb16275d24c42a52eaf79ebe2231	modules/crypto/tf-psa-crypto
trusted-firmware-a	https://github.com/zephyrproject-rtos/trusted-firmware-a	4aef38a5bf03edfa615c1f8af5a49e7065f9fb3f	modules/tee/tf-a/trusted-firmware-a
trusted-firmware-m	https://github.com/zephyrproject-rtos/trusted-firmware-m	9a4cb1a280b63a5e66bd469e82eb75f2b3e05a78	modules/tee/tf-m/trusted-firmware-m
uoscore-uedhoc	https://github.com/zephyrproject-rtos/uoscore-uedhoc	dc0ab6345450668de3f9597320a48c5a2d409bb6	modules/lib/uoscore-uedhoc
zcbor	https://github.com/zephyrproject-rtos/zcbor	9164bd18dcd88ff9d9ef98279501fc1093571017	modules/lib/zcbor
