Time [s],Value,Parity Error,Framing Error
0.003409120000000, ,,
0.003504480000000,@,,
0.003599840000000,\xD5,,
0.003695200000000,\xC5,,
0.003790560000000,\xEB,,
0.003885920000000,\xD5,,
0.003981440000000,E,,
0.004076800000000,U,,
0.004172160000000,\xA8,,
0.004267520000000,\xC5,,
0.004362880000000,\xDC,,
0.004458400000000,\xD5,,
0.004553760000000,\xDC,,
0.004649120000000,U,,
0.004744480000000,\xDC,,
0.004839840000000,\xC5,,
0.004935200000000,\xDC,,
0.005030720000000,\xD5,,
0.005126080000000,\xDC,,
0.005221440000000,U,,
0.005316800000000,\xDC,,
0.005412160000000,\xC5,,
0.005507680000000,\xDC,,
0.005603040000000,\xD5,,
0.005698400000000,\xDC,,
0.005793760000000,U,,
0.005889120000000,\xDC,,
0.005984480000000,\x05,,
0.006080000000000,\xDC,,
0.006175360000000,\x05,,
0.006270720000000,\x94,,
0.006366080000000,\xEC,,
0.007408960000000, ,,
0.007504320000000,@,,
0.007599840000000,\xD5,,
0.007695200000000,\xC5,,
0.007790560000000,\xEB,,
0.007885920000000,\xD5,,
0.007981280000000,E,,
0.008076800000000,U,,
0.008172160000000,\xA8,,
0.008267520000000,\xC5,,
0.008362880000000,\xDC,,
0.008458240000000,\xD5,,
0.008553600000000,\xDC,,
0.008649120000000,U,,
0.008744480000000,\xDC,,
0.008839840000000,\xC5,,
0.008935200000000,\xDC,,
0.009030560000000,\xD5,,
0.009126080000000,\xDC,,
0.009221440000000,U,,
0.009316800000000,\xDC,,
0.009412160000000,\xC5,,
0.009507520000000,\xDC,,
0.009602880000000,\xD5,,
0.009698400000000,\xDC,,
0.009793760000000,U,,
0.009889120000000,\xDC,,
0.009984480000000,\x05,,
0.010079840000000,\xDC,,
0.010175360000000,\x05,,
0.010270720000000,\x94,,
0.010366080000000,\xEC,,
0.011408960000000, ,,
0.011504320000000,@,,
0.011599680000000,\xD5,,
0.011695200000000,\xC5,,
0.011790560000000,\xEB,,
0.011885920000000,\xD5,,
0.011981280000000,E,,
0.012076640000000,U,,
0.012172000000000,\xA8,,
0.012267520000000,\xC5,,
0.012362880000000,\xDC,,
0.012458240000000,\xD5,,
0.012553600000000,\xDC,,
0.012648960000000,U,,
0.012744480000000,\xDC,,
0.012839840000000,\xC5,,
0.012935200000000,\xDC,,
0.013030560000000,\xD5,,
0.013125920000000,\xDC,,
0.013221280000000,U,,
0.013316800000000,\xDC,,
0.013412160000000,\xC5,,
0.013507520000000,\xDC,,
0.013602880000000,\xD5,,
0.013698240000000,\xDC,,
0.013793760000000,U,,
0.013889120000000,\xDC,,
0.013984480000000,\x05,,
0.014079840000000,\xDC,,
0.014175200000000,\x05,,
0.014270560000000,\x94,,
0.014366080000000,\xEC,,
0.015408800000000, ,,
0.015504160000000,@,,
0.015599680000000,\xD5,,
0.015695040000000,\xC5,,
0.015790400000000,\xEB,,
0.015885760000000,\xD5,,
0.015981120000000,E,,
0.016076640000000,U,,
0.016172000000000,\xA8,,
0.016267360000000,\xC5,,
0.016362720000000,\xDC,,
0.016458080000000,\xD5,,
0.016553440000000,\xDC,,
0.016648960000000,U,,
0.016744320000000,\xDC,,
0.016839680000000,\xC5,,
0.016935040000000,\xDC,,
0.017030400000000,\xD5,,
0.017125920000000,\xDC,,
0.017221280000000,U,,
0.017316640000000,\xDC,,
0.017412000000000,\xC5,,
0.017507360000000,\xDC,,
0.017602720000000,\xD5,,
0.017698240000000,\xDC,,
